Subj_idx,Stimulus,Response,Confidence,Condition,Exp
7001,0,1,1,-1,2a
7001,-3,0,0,-1,2a
7001,30,0,0,-1,2a
7001,6,1,1,-1,2a
7001,10,1,1,-1,2a
7001,-10,0,1,-1,2a
7001,-30,0,1,-1,2a
7001,3,1,0,-1,2a
7001,20,1,1,-1,2a
7001,-20,0,1,-1,2a
7001,-6,0,0,-1,2a
7001,6,1,0,1,2a
7001,-3,1,0,1,2a
7001,0,1,0,1,2a
7001,30,1,1,1,2a
7001,10,1,0,1,2a
7001,3,1,0,1,2a
7001,-6,1,0,1,2a
7001,-20,0,1,1,2a
7001,-10,1,0,1,2a
7001,20,1,1,1,2a
7001,-30,0,1,1,2a
7001,20,1,1,-1,2a
7001,-10,0,1,-1,2a
7001,6,0,0,-1,2a
7001,3,0,0,-1,2a
7001,0,0,0,-1,2a
7001,-6,0,0,-1,2a
7001,-20,0,1,-1,2a
7001,10,1,1,-1,2a
7001,-3,0,0,-1,2a
7001,-30,0,1,-1,2a
7001,30,1,1,-1,2a
7001,-30,0,1,1,2a
7001,-6,1,0,1,2a
7001,3,1,0,1,2a
7001,-10,0,1,1,2a
7001,20,1,1,1,2a
7001,0,1,0,1,2a
7001,6,1,0,1,2a
7001,10,1,1,1,2a
7001,-20,0,1,1,2a
7001,30,1,1,1,2a
7001,-3,1,0,1,2a
7001,6,0,0,-1,2a
7001,-10,0,0,-1,2a
7001,3,1,1,-1,2a
7001,-3,0,1,-1,2a
7001,30,1,1,-1,2a
7001,-30,0,1,-1,2a
7001,-20,0,1,-1,2a
7001,0,0,0,-1,2a
7001,20,1,1,-1,2a
7001,10,1,1,-1,2a
7001,-6,0,0,-1,2a
7001,30,1,1,1,2a
7001,10,1,1,1,2a
7001,6,1,0,1,2a
7001,-3,1,0,1,2a
7001,-10,0,1,1,2a
7001,-20,0,1,1,2a
7001,0,1,0,1,2a
7001,-6,1,0,1,2a
7001,20,1,1,1,2a
7001,-30,0,1,1,2a
7001,3,1,0,1,2a
7001,-20,0,1,-1,2a
7001,0,0,0,-1,2a
7001,-30,0,1,-1,2a
7001,-3,0,0,-1,2a
7001,10,1,1,-1,2a
7001,-6,0,1,-1,2a
7001,6,1,1,-1,2a
7001,30,1,1,-1,2a
7001,20,1,1,-1,2a
7001,-10,0,1,-1,2a
7001,3,0,0,-1,2a
7001,3,1,0,1,2a
7001,10,1,1,1,2a
7001,-30,0,1,1,2a
7001,-3,1,0,1,2a
7001,-10,0,1,1,2a
7001,30,1,1,1,2a
7001,20,1,1,1,2a
7001,-6,0,0,1,2a
7001,6,1,0,1,2a
7001,0,1,0,1,2a
7001,-20,0,1,1,2a
7001,-30,0,1,1,2a
7001,3,1,0,1,2a
7001,-6,0,0,1,2a
7001,-20,0,1,1,2a
7001,30,1,1,1,2a
7001,10,1,1,1,2a
7001,-3,1,0,1,2a
7001,6,1,0,1,2a
7001,0,1,0,1,2a
7001,20,1,1,1,2a
7001,-10,0,1,1,2a
7001,-6,0,0,-1,2a
7001,0,0,0,-1,2a
7001,-3,0,0,-1,2a
7001,3,0,0,-1,2a
7001,30,1,1,-1,2a
7001,-20,0,1,-1,2a
7001,-10,0,1,-1,2a
7001,20,1,1,-1,2a
7001,-30,0,1,-1,2a
7001,6,1,1,-1,2a
7001,10,1,1,-1,2a
7001,-20,0,1,-1,2b
7001,10,1,1,-1,2b
7001,6,1,1,-1,2b
7001,20,1,1,-1,2b
7001,-30,0,1,-1,2b
7001,-3,1,0,-1,2b
7001,0,1,0,-1,2b
7001,30,1,1,-1,2b
7001,3,1,1,-1,2b
7001,-10,0,1,-1,2b
7001,-6,1,1,-1,2b
7001,6,0,0,1,2b
7001,-6,0,1,1,2b
7001,10,1,1,1,2b
7001,-3,0,0,1,2b
7001,20,1,1,1,2b
7001,30,1,1,1,2b
7001,0,0,0,1,2b
7001,-10,0,1,1,2b
7001,3,0,0,1,2b
7001,-20,0,1,1,2b
7001,-30,0,1,1,2b
7001,6,1,1,-1,2b
7001,3,1,0,-1,2b
7001,-20,0,1,-1,2b
7001,30,1,1,-1,2b
7001,-3,1,0,-1,2b
7001,-10,0,1,-1,2b
7001,-30,0,1,-1,2b
7001,-6,1,0,-1,2b
7001,20,1,1,-1,2b
7001,10,1,1,-1,2b
7001,0,1,0,-1,2b
7001,30,1,1,1,2b
7001,10,1,1,1,2b
7001,0,0,0,1,2b
7001,3,0,0,1,2b
7001,-10,0,0,1,2b
7001,-20,0,1,1,2b
7001,-3,0,0,1,2b
7001,-30,0,1,1,2b
7001,20,1,1,1,2b
7001,-6,0,1,1,2b
7001,6,0,0,1,2b
7001,-3,1,0,-1,2b
7001,10,1,1,-1,2b
7001,-30,0,1,-1,2b
7001,-20,0,1,-1,2b
7001,-6,0,1,-1,2b
7001,30,1,1,-1,2b
7001,0,1,0,-1,2b
7001,3,1,0,-1,2b
7001,6,1,0,-1,2b
7001,20,1,1,-1,2b
7001,-10,0,1,-1,2b
7001,-20,0,1,1,2b
7001,-3,0,1,1,2b
7001,0,0,0,1,2b
7001,3,0,0,1,2b
7001,6,1,1,1,2b
7001,-6,0,0,1,2b
7001,30,1,1,1,2b
7001,-10,0,1,1,2b
7001,10,1,1,1,2b
7001,20,1,1,1,2b
7001,-30,0,1,1,2b
7001,6,1,1,-1,2b
7001,30,1,1,-1,2b
7001,-6,1,0,-1,2b
7001,-20,0,1,-1,2b
7001,20,1,1,-1,2b
7001,-3,1,0,-1,2b
7001,0,1,0,-1,2b
7001,-30,0,1,-1,2b
7001,3,1,0,-1,2b
7001,-10,0,1,-1,2b
7001,10,1,1,-1,2b
7001,-10,0,1,1,2b
7001,10,1,1,1,2b
7001,-6,0,1,1,2b
7001,20,1,1,1,2b
7001,30,1,1,1,2b
7001,3,0,0,1,2b
7001,-20,0,1,1,2b
7001,6,1,1,1,2b
7001,-3,0,0,1,2b
7001,-30,0,1,1,2b
7001,0,0,0,1,2b
7001,-6,0,0,1,2b
7001,20,1,1,1,2b
7001,-10,0,1,1,2b
7001,10,1,1,1,2b
7001,3,0,0,1,2b
7001,30,1,1,1,2b
7001,-3,0,0,1,2b
7001,-30,0,1,1,2b
7001,6,0,0,1,2b
7001,0,0,0,1,2b
7001,-20,0,1,1,2b
7001,20,1,1,-1,2b
7001,3,1,0,-1,2b
7001,30,1,1,-1,2b
7001,-30,0,1,-1,2b
7001,10,1,1,-1,2b
7001,0,1,0,-1,2b
7001,-6,1,0,-1,2b
7001,-3,1,0,-1,2b
7001,-20,0,1,-1,2b
7001,6,1,0,-1,2b
7001,-10,0,1,-1,2b
7002,-10,0,1,1,2b
7002,30,1,1,1,2b
7002,3,0,0,1,2b
7002,10,1,1,1,2b
7002,-3,0,1,1,2b
7002,-20,0,0,1,2b
7002,6,0,0,1,2b
7002,-6,0,0,1,2b
7002,0,1,1,1,2b
7002,20,1,1,1,2b
7002,-30,0,0,1,2b
7002,-30,0,1,-1,2b
7002,20,1,0,-1,2b
7002,10,1,1,-1,2b
7002,30,1,1,-1,2b
7002,-10,1,0,-1,2b
7002,-3,0,1,-1,2b
7002,6,1,0,-1,2b
7002,-20,0,1,-1,2b
7002,3,1,0,-1,2b
7002,0,1,0,-1,2b
7002,-6,1,0,-1,2b
7002,-20,0,1,-1,2b
7002,-6,0,1,-1,2b
7002,-3,1,0,-1,2b
7002,0,1,0,-1,2b
7002,-10,0,1,-1,2b
7002,6,1,0,-1,2b
7002,10,1,1,-1,2b
7002,30,1,1,-1,2b
7002,-30,0,1,-1,2b
7002,3,1,1,-1,2b
7002,20,1,1,-1,2b
7002,0,1,1,1,2b
7002,20,1,1,1,2b
7002,6,1,1,1,2b
7002,30,1,1,1,2b
7002,10,1,1,1,2b
7002,-10,0,1,1,2b
7002,-3,0,0,1,2b
7002,-6,0,1,1,2b
7002,-30,0,1,1,2b
7002,-20,0,1,1,2b
7002,3,0,1,1,2b
7002,-20,0,1,1,2b
7002,-30,0,1,1,2b
7002,30,1,1,1,2b
7002,10,1,1,1,2b
7002,-3,0,0,1,2b
7002,20,1,1,1,2b
7002,0,0,0,1,2b
7002,3,0,0,1,2b
7002,-6,0,0,1,2b
7002,-10,0,1,1,2b
7002,6,1,1,1,2b
7002,0,1,0,-1,2b
7002,3,1,0,-1,2b
7002,-10,0,0,-1,2b
7002,10,1,0,-1,2b
7002,-30,0,1,-1,2b
7002,20,1,1,-1,2b
7002,30,1,1,-1,2b
7002,-6,1,0,-1,2b
7002,6,1,1,-1,2b
7002,-20,0,1,-1,2b
7002,-3,1,0,-1,2b
7002,6,1,1,1,2b
7002,20,1,1,1,2b
7002,-20,0,1,1,2b
7002,0,0,0,1,2b
7002,-30,0,1,1,2b
7002,-10,0,1,1,2b
7002,10,1,1,1,2b
7002,30,1,1,1,2b
7002,-3,0,1,1,2b
7002,3,1,1,1,2b
7002,-6,0,0,1,2b
7002,20,1,1,-1,2b
7002,-20,0,1,-1,2b
7002,-10,0,1,-1,2b
7002,0,1,0,-1,2b
7002,30,1,1,-1,2b
7002,6,1,0,-1,2b
7002,3,1,0,-1,2b
7002,-30,0,1,-1,2b
7002,-6,0,1,-1,2b
7002,10,1,1,-1,2b
7002,-3,1,0,-1,2b
7002,6,1,1,1,2b
7002,-10,0,1,1,2b
7002,20,1,1,1,2b
7002,-3,0,0,1,2b
7002,-6,0,0,1,2b
7002,10,0,0,1,2b
7002,-30,0,1,1,2b
7002,-20,0,1,1,2b
7002,0,0,0,1,2b
7002,30,1,1,1,2b
7002,3,0,0,1,2b
7002,6,1,0,-1,2b
7002,-3,0,0,-1,2b
7002,3,1,0,-1,2b
7002,-10,0,1,-1,2b
7002,20,1,1,-1,2b
7002,10,1,1,-1,2b
7002,-30,0,1,-1,2b
7002,-20,0,1,-1,2b
7002,30,1,1,-1,2b
7002,-6,0,1,-1,2b
7002,0,1,0,-1,2b
7002,-6,0,1,-1,2a
7002,20,1,1,-1,2a
7002,0,0,0,-1,2a
7002,-3,0,0,-1,2a
7002,-30,0,1,-1,2a
7002,-10,0,0,-1,2a
7002,-20,0,1,-1,2a
7002,3,0,0,-1,2a
7002,6,1,1,-1,2a
7002,10,1,1,-1,2a
7002,30,1,1,-1,2a
7002,20,1,1,1,2a
7002,-20,0,1,1,2a
7002,-6,1,0,1,2a
7002,3,1,1,1,2a
7002,0,1,0,1,2a
7002,-10,0,0,1,2a
7002,-3,1,0,1,2a
7002,30,1,1,1,2a
7002,-30,0,1,1,2a
7002,6,1,0,1,2a
7002,10,1,0,1,2a
7002,20,1,1,-1,2a
7002,6,1,1,-1,2a
7002,-30,0,1,-1,2a
7002,3,0,0,-1,2a
7002,-10,0,1,-1,2a
7002,-6,1,1,-1,2a
7002,-3,1,1,-1,2a
7002,30,1,1,-1,2a
7002,10,1,1,-1,2a
7002,-20,0,1,-1,2a
7002,0,1,1,-1,2a
7002,6,1,0,1,2a
7002,10,1,1,1,2a
7002,-10,1,1,1,2a
7002,-30,0,1,1,2a
7002,3,1,1,1,2a
7002,-20,0,1,1,2a
7002,-6,0,1,1,2a
7002,30,1,1,1,2a
7002,20,1,1,1,2a
7002,0,1,0,1,2a
7002,-3,1,0,1,2a
7002,-3,0,0,1,2a
7002,30,1,1,1,2a
7002,20,1,1,1,2a
7002,-10,0,1,1,2a
7002,6,1,0,1,2a
7002,-6,1,0,1,2a
7002,-30,0,1,1,2a
7002,-20,0,1,1,2a
7002,10,1,1,1,2a
7002,3,1,0,1,2a
7002,0,1,0,1,2a
7002,-6,0,1,-1,2a
7002,-20,0,1,-1,2a
7002,0,0,0,-1,2a
7002,10,1,1,-1,2a
7002,20,1,1,-1,2a
7002,3,0,0,-1,2a
7002,-30,0,1,-1,2a
7002,6,0,0,-1,2a
7002,30,1,1,-1,2a
7002,-3,0,0,-1,2a
7002,-10,0,1,-1,2a
7002,3,0,0,-1,2a
7002,-10,0,1,-1,2a
7002,10,0,0,-1,2a
7002,6,0,0,-1,2a
7002,-20,0,1,-1,2a
7002,0,0,0,-1,2a
7002,-6,0,1,-1,2a
7002,30,1,1,-1,2a
7002,-3,0,0,-1,2a
7002,20,1,1,-1,2a
7002,-30,0,1,-1,2a
7002,-30,0,1,1,2a
7002,-20,0,1,1,2a
7002,6,1,1,1,2a
7002,-10,1,0,1,2a
7002,3,1,0,1,2a
7002,10,1,1,1,2a
7002,0,1,1,1,2a
7002,30,1,1,1,2a
7002,-3,1,0,1,2a
7002,20,1,1,1,2a
7002,-6,1,0,1,2a
7002,0,0,0,-1,2a
7002,20,1,1,-1,2a
7002,10,1,1,-1,2a
7002,-3,0,0,-1,2a
7002,-20,0,1,-1,2a
7002,30,1,1,-1,2a
7002,-10,0,1,-1,2a
7002,-30,0,1,-1,2a
7002,6,1,1,-1,2a
7002,3,0,0,-1,2a
7002,-6,0,0,-1,2a
7002,-3,1,0,1,2a
7002,20,1,1,1,2a
7002,6,1,0,1,2a
7002,3,1,0,1,2a
7002,-20,0,1,1,2a
7002,10,1,1,1,2a
7002,-30,0,1,1,2a
7002,30,1,1,1,2a
7002,-6,1,0,1,2a
7002,0,1,0,1,2a
7002,-10,0,1,1,2a
9001,20,1,1,-1,2a
9001,0,0,0,-1,2a
9001,3,0,0,-1,2a
9001,-3,0,0,-1,2a
9001,10,0,0,-1,2a
9001,-30,0,1,-1,2a
9001,30,1,1,-1,2a
9001,-20,0,1,-1,2a
9001,-6,0,0,-1,2a
9001,-10,0,1,-1,2a
9001,6,0,0,-1,2a
9001,-6,1,0,1,2a
9001,6,1,0,1,2a
9001,0,1,0,1,2a
9001,3,1,0,1,2a
9001,-30,0,1,1,2a
9001,-3,1,0,1,2a
9001,-10,0,1,1,2a
9001,10,1,1,1,2a
9001,-20,0,1,1,2a
9001,30,1,1,1,2a
9001,20,1,0,1,2a
9001,-20,0,1,-1,2a
9001,-3,0,0,-1,2a
9001,6,0,0,-1,2a
9001,0,0,0,-1,2a
9001,30,1,1,-1,2a
9001,-6,0,0,-1,2a
9001,-30,0,1,-1,2a
9001,20,1,1,-1,2a
9001,3,0,0,-1,2a
9001,10,0,0,-1,2a
9001,-10,0,1,-1,2a
9001,6,1,0,1,2a
9001,-3,1,0,1,2a
9001,-6,1,0,1,2a
9001,3,1,0,1,2a
9001,-30,0,1,1,2a
9001,30,1,1,1,2a
9001,20,1,1,1,2a
9001,-20,0,1,1,2a
9001,0,1,0,1,2a
9001,-10,1,0,1,2a
9001,10,1,0,1,2a
9001,30,1,1,-1,2a
9001,-3,0,0,-1,2a
9001,0,0,0,-1,2a
9001,-20,0,1,-1,2a
9001,6,0,0,-1,2a
9001,20,1,1,-1,2a
9001,-30,0,1,-1,2a
9001,10,0,0,-1,2a
9001,-6,0,1,-1,2a
9001,-10,0,0,-1,2a
9001,3,0,0,-1,2a
9001,-3,1,0,1,2a
9001,-20,0,1,1,2a
9001,-30,0,1,1,2a
9001,6,1,0,1,2a
9001,20,1,1,1,2a
9001,-10,0,1,1,2a
9001,0,1,0,1,2a
9001,-6,1,0,1,2a
9001,10,1,1,1,2a
9001,3,1,0,1,2a
9001,30,1,1,1,2a
9001,3,0,0,-1,2a
9001,-6,0,1,-1,2a
9001,-10,0,0,-1,2a
9001,20,1,1,-1,2a
9001,-3,0,0,-1,2a
9001,30,1,1,-1,2a
9001,0,0,0,-1,2a
9001,-30,0,1,-1,2a
9001,10,1,1,-1,2a
9001,-20,0,1,-1,2a
9001,6,1,0,-1,2a
9001,-30,0,1,1,2a
9001,-10,0,1,1,2a
9001,0,1,0,1,2a
9001,10,1,0,1,2a
9001,-6,1,0,1,2a
9001,-20,0,1,1,2a
9001,-3,1,0,1,2a
9001,20,1,1,1,2a
9001,3,1,0,1,2a
9001,6,1,1,1,2a
9001,30,1,1,1,2a
9001,-10,0,0,-1,2a
9001,-30,0,1,-1,2a
9001,-3,0,0,-1,2a
9001,0,0,0,-1,2a
9001,6,0,0,-1,2a
9001,20,1,1,-1,2a
9001,3,0,0,-1,2a
9001,-20,0,1,-1,2a
9001,30,1,1,-1,2a
9001,-6,0,0,-1,2a
9001,10,1,1,-1,2a
9001,-20,0,1,1,2a
9001,30,1,1,1,2a
9001,-6,1,0,1,2a
9001,-10,0,1,1,2a
9001,20,1,1,1,2a
9001,-3,1,0,1,2a
9001,6,1,1,1,2a
9001,10,1,0,1,2a
9001,0,1,0,1,2a
9001,3,1,0,1,2a
9001,-30,0,1,1,2a
9001,20,1,1,-1,2b
9001,-30,0,1,-1,2b
9001,6,1,1,-1,2b
9001,-3,1,0,-1,2b
9001,-6,0,1,-1,2b
9001,10,1,1,-1,2b
9001,30,1,1,-1,2b
9001,-20,0,1,-1,2b
9001,3,1,0,-1,2b
9001,-10,0,1,-1,2b
9001,0,1,0,-1,2b
9001,10,0,0,1,2b
9001,-10,0,0,1,2b
9001,-6,0,0,1,2b
9001,-3,0,0,1,2b
9001,-30,0,1,1,2b
9001,3,0,0,1,2b
9001,30,1,1,1,2b
9001,0,0,0,1,2b
9001,20,1,1,1,2b
9001,6,0,0,1,2b
9001,-20,0,1,1,2b
9001,-20,0,1,1,2b
9001,6,0,0,1,2b
9001,-3,0,0,1,2b
9001,-6,0,0,1,2b
9001,-30,0,1,1,2b
9001,3,0,0,1,2b
9001,0,0,0,1,2b
9001,-10,0,0,1,2b
9001,10,0,0,1,2b
9001,20,1,1,1,2b
9001,30,1,1,1,2b
9001,3,1,0,-1,2b
9001,-30,0,1,-1,2b
9001,-10,1,0,-1,2b
9001,30,1,1,-1,2b
9001,0,1,0,-1,2b
9001,10,1,0,-1,2b
9001,-3,1,0,-1,2b
9001,20,1,1,-1,2b
9001,6,1,0,-1,2b
9001,-6,1,0,-1,2b
9001,-20,0,1,-1,2b
9001,-6,0,0,1,2b
9001,-20,0,1,1,2b
9001,6,0,0,1,2b
9001,0,0,0,1,2b
9001,-30,0,1,1,2b
9001,-3,0,0,1,2b
9001,10,0,0,1,2b
9001,-10,0,1,1,2b
9001,3,0,0,1,2b
9001,20,1,1,1,2b
9001,30,1,1,1,2b
9001,-10,0,1,-1,2b
9001,-3,1,0,-1,2b
9001,20,1,1,-1,2b
9001,3,1,0,-1,2b
9001,-6,1,0,-1,2b
9001,6,1,0,-1,2b
9001,10,1,1,-1,2b
9001,30,1,1,-1,2b
9001,-30,0,1,-1,2b
9001,0,1,0,-1,2b
9001,-20,0,1,-1,2b
9001,0,1,0,-1,2b
9001,30,1,1,-1,2b
9001,10,1,1,-1,2b
9001,-20,0,1,-1,2b
9001,-10,0,1,-1,2b
9001,20,1,1,-1,2b
9001,-3,1,0,-1,2b
9001,6,1,1,-1,2b
9001,-6,1,0,-1,2b
9001,-30,0,1,-1,2b
9001,3,1,0,-1,2b
9001,10,1,1,1,2b
9001,-10,0,0,1,2b
9001,20,1,1,1,2b
9001,-6,0,0,1,2b
9001,3,0,0,1,2b
9001,-3,0,0,1,2b
9001,-30,0,1,1,2b
9001,-20,0,1,1,2b
9001,6,1,1,1,2b
9001,0,0,0,1,2b
9001,30,1,1,1,2b
9001,-6,1,0,-1,2b
9001,-20,0,1,-1,2b
9001,30,1,1,-1,2b
9001,10,1,1,-1,2b
9001,20,1,1,-1,2b
9001,-3,1,0,-1,2b
9001,-10,0,1,-1,2b
9001,-30,0,1,-1,2b
9001,3,1,0,-1,2b
9001,0,1,0,-1,2b
9001,6,1,0,-1,2b
9001,-20,0,1,1,2b
9001,-10,0,0,1,2b
9001,30,0,0,1,2b
9001,6,0,0,1,2b
9001,-6,0,0,1,2b
9001,3,0,0,1,2b
9001,10,1,1,1,2b
9001,-3,0,0,1,2b
9001,20,1,1,1,2b
9001,-30,0,1,1,2b
9001,0,0,0,1,2b
7003,20,0,0,1,2b
7003,-10,0,1,1,2b
7003,3,1,1,1,2b
7003,10,1,1,1,2b
7003,-20,0,1,1,2b
7003,0,0,0,1,2b
7003,-6,0,1,1,2b
7003,30,1,1,1,2b
7003,-30,0,1,1,2b
7003,-3,0,1,1,2b
7003,6,1,1,1,2b
7003,30,1,1,-1,2b
7003,-30,0,0,-1,2b
7003,20,1,1,-1,2b
7003,-20,1,1,-1,2b
7003,-3,1,0,-1,2b
7003,0,1,1,-1,2b
7003,10,1,0,-1,2b
7003,6,1,1,-1,2b
7003,-10,0,1,-1,2b
7003,-6,0,1,-1,2b
7003,3,1,0,-1,2b
7003,-30,0,1,1,2b
7003,3,0,0,1,2b
7003,6,1,1,1,2b
7003,-3,0,1,1,2b
7003,30,1,1,1,2b
7003,10,1,1,1,2b
7003,-10,0,1,1,2b
7003,20,0,1,1,2b
7003,0,0,1,1,2b
7003,-6,0,1,1,2b
7003,-20,0,1,1,2b
7003,-30,0,1,-1,2b
7003,-6,0,1,-1,2b
7003,3,0,1,-1,2b
7003,0,1,0,-1,2b
7003,-3,1,1,-1,2b
7003,20,1,1,-1,2b
7003,10,0,1,-1,2b
7003,30,1,1,-1,2b
7003,6,0,1,-1,2b
7003,-20,0,1,-1,2b
7003,-10,1,0,-1,2b
7003,-3,1,1,-1,2b
7003,3,0,1,-1,2b
7003,6,1,1,-1,2b
7003,10,1,0,-1,2b
7003,0,1,0,-1,2b
7003,30,1,1,-1,2b
7003,-10,0,1,-1,2b
7003,20,1,1,-1,2b
7003,-20,0,1,-1,2b
7003,-30,0,1,-1,2b
7003,-6,1,0,-1,2b
7003,20,1,1,1,2b
7003,-6,0,0,1,2b
7003,10,1,1,1,2b
7003,0,0,1,1,2b
7003,6,1,1,1,2b
7003,-30,0,1,1,2b
7003,30,1,1,1,2b
7003,3,0,0,1,2b
7003,-20,0,1,1,2b
7003,-10,0,0,1,2b
7003,-3,1,1,1,2b
7003,-10,1,1,1,2b
7003,-20,0,1,1,2b
7003,-6,0,0,1,2b
7003,-3,1,1,1,2b
7003,30,1,1,1,2b
7003,20,1,1,1,2b
7003,6,1,1,1,2b
7003,0,1,1,1,2b
7003,3,1,1,1,2b
7003,10,0,0,1,2b
7003,-30,0,1,1,2b
7003,3,1,1,-1,2b
7003,20,1,1,-1,2b
7003,0,1,0,-1,2b
7003,6,1,1,-1,2b
7003,-10,1,0,-1,2b
7003,-20,0,1,-1,2b
7003,-3,1,0,-1,2b
7003,30,1,1,-1,2b
7003,10,0,1,-1,2b
7003,-6,0,1,-1,2b
7003,-30,0,1,-1,2b
7003,20,1,1,1,2b
7003,30,1,1,1,2b
7003,10,1,1,1,2b
7003,0,0,1,1,2b
7003,6,0,1,1,2b
7003,3,0,0,1,2b
7003,-20,0,1,1,2b
7003,-6,0,1,1,2b
7003,-10,0,1,1,2b
7003,-3,0,0,1,2b
7003,-30,0,1,1,2b
7003,10,1,1,-1,2b
7003,20,1,1,-1,2b
7003,3,0,1,-1,2b
7003,-10,0,1,-1,2b
7003,30,1,1,-1,2b
7003,-30,0,1,-1,2b
7003,-3,1,0,-1,2b
7003,6,1,1,-1,2b
7003,-6,0,1,-1,2b
7003,0,1,0,-1,2b
7003,-20,0,1,-1,2b
7004,-10,0,1,-1,2a
7004,0,0,1,-1,2a
7004,-30,0,1,-1,2a
7004,3,0,0,-1,2a
7004,-20,0,1,-1,2a
7004,6,1,1,-1,2a
7004,20,1,1,-1,2a
7004,-6,1,0,-1,2a
7004,-3,0,1,-1,2a
7004,30,1,1,-1,2a
7004,10,1,1,-1,2a
7004,0,0,1,1,2a
7004,30,1,1,1,2a
7004,-10,0,1,1,2a
7004,-3,0,1,1,2a
7004,10,1,1,1,2a
7004,20,1,1,1,2a
7004,-30,0,1,1,2a
7004,3,1,0,1,2a
7004,6,1,1,1,2a
7004,-6,0,1,1,2a
7004,-20,0,1,1,2a
7004,0,0,0,1,2a
7004,-10,0,1,1,2a
7004,-30,0,1,1,2a
7004,6,1,1,1,2a
7004,3,1,0,1,2a
7004,30,1,1,1,2a
7004,-20,0,1,1,2a
7004,-3,0,1,1,2a
7004,20,1,1,1,2a
7004,10,1,1,1,2a
7004,-6,0,1,1,2a
7004,20,1,1,-1,2a
7004,10,1,1,-1,2a
7004,-30,0,1,-1,2a
7004,-3,1,0,-1,2a
7004,-20,0,1,-1,2a
7004,3,1,1,-1,2a
7004,0,1,1,-1,2a
7004,30,1,1,-1,2a
7004,6,1,1,-1,2a
7004,-10,0,1,-1,2a
7004,-6,0,1,-1,2a
7004,30,1,1,-1,2a
7004,3,1,1,-1,2a
7004,-20,0,1,-1,2a
7004,-6,0,1,-1,2a
7004,20,1,1,-1,2a
7004,0,1,0,-1,2a
7004,10,1,1,-1,2a
7004,-10,0,1,-1,2a
7004,-3,0,0,-1,2a
7004,-30,0,1,-1,2a
7004,6,0,0,-1,2a
7004,20,1,1,1,2a
7004,6,1,1,1,2a
7004,-10,0,1,1,2a
7004,-3,0,1,1,2a
7004,0,0,1,1,2a
7004,3,0,0,1,2a
7004,30,1,1,1,2a
7004,-30,0,1,1,2a
7004,10,1,1,1,2a
7004,-20,0,1,1,2a
7004,-6,0,1,1,2a
7004,30,1,1,-1,2a
7004,-10,0,1,-1,2a
7004,10,1,1,-1,2a
7004,6,1,1,-1,2a
7004,-6,0,1,-1,2a
7004,3,1,1,-1,2a
7004,0,0,0,-1,2a
7004,20,1,1,-1,2a
7004,-30,0,1,-1,2a
7004,-20,0,1,-1,2a
7004,-3,0,0,-1,2a
7004,30,1,1,1,2a
7004,6,1,1,1,2a
7004,-10,0,1,1,2a
